Scenario_ID,Turn,Role,Original_Text,Agent_New_Response,Decision,Is_Correct
23,1,user,螢幕 6 公斤可以用哪款？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
24,1,user,氣壓臂張力要怎麼調？,"安裝後以附贈六角扳手順時針/逆時針微調張力，使螢幕能穩定停在常用高度。請逐步調整並避免一次轉動過多圈數。
🔗 詳情參考: https://example.com/jtcg/guides/gas-spring-tuning",3,
25,1,user,沒有 VESA 孔怎麼裝？,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
26,1,user,家裡有小孩，使用安全要注意什麼？,"夾具建議加裝保護墊片，避免桌面刮傷。請避免孩童攀爬或懸掛螢幕臂，並定期檢查螺絲鎖固狀況。
🔗 詳情參考: https://example.com/jtcg/guides/safety",3,
27,1,user,壁掛需要什麼牆面條件？,"建議安裝於磚牆或實心牆面；若為石膏板/輕隔間需使用對應膨脹螺絲或請專業安裝。請先評估牆面承重。
🔗 詳情參考: https://example.com/jtcg/guides/wall-mount",3,
28,1,user,要申請 RMA 維修怎麼做？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
29,1,user,電子發票可以重發嗎？,"本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。
🔗 詳情參考: https://example.com/jtcg/policies/invoice",3,
30,1,user,公司想大量採購可以報價嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
31,1,user,退貨流程跟退款時程？,"線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。
🔗 詳情參考: https://example.com/jtcg/policies/return-flow",3,
32,1,user,怎麼查物流追蹤？,"出貨後可於「我的訂單」頁點擊追蹤碼查看最新配送狀態。若長時間無更新，請聯繫客服協助查詢。
🔗 詳情參考: https://example.com/jtcg/account/orders",3,
33,1,user,會員點數怎麼用？,"會員點數可於結帳抵用，不得折換現金。有效期限與可用規則以會員中心公告為準。
🔗 詳情參考: https://example.com/jtcg/account/rewards",3,
34,1,user,臂架保養清潔怎麼做？,"建議以微濕布擦拭，避免使用含溶劑之清潔劑。定期檢查關節與螺絲是否鬆動並適度調整。
🔗 詳情參考: https://example.com/jtcg/guides/care",3,
35,1,user,桌深需要多少？牆距要留多少？,"臂展會影響可調整範圍；一般建議桌深至少 60cm，桌面後方保留 10–15cm 以利走線與臂架活動。
🔗 詳情參考: https://example.com/jtcg/guides/desk-space",3,
36,1,user,走線有什麼整理建議？,"建議沿臂架後側與走線槽固定，預留轉動餘量避免拉扯。轉接器與變壓器避免懸空以降低接口受力。
🔗 詳情參考: https://example.com/jtcg/guides/cable-management",3,
37,1,user,贈品沒附到可以補寄嗎？,"贈品以活動頁標示為準；若到貨未含贈品，請於 7 日內附上開箱照片與訂單資訊，客服將協助補寄。
🔗 詳情參考: https://example.com/jtcg/promotions/gifts",3,
38,1,user,VESA 螺絲規格要用多長？,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
39,1,user,能跟電動升降桌一起用嗎？,"可搭配，但請留意臂展與走線鬆弛度，避免升降時拉扯線材。建議預留 10–15cm 線材餘量，電源變壓器避免懸空。
🔗 詳情參考: https://example.com/jtcg/guides/sit-stand",3,
40,1,user,桌後有擋板，夾具還能裝嗎？,"夾具安裝免鑽孔、便利度高；穿孔固定穩定性更佳、適合厚桌板或特殊材質。若為玻璃/軟木桌板，建議使用墊片或改穿孔。
🔗 詳情參考: https://example.com/jtcg/guides/clamp-vs-grommet",3,
41,1,user,兩台不同尺寸的螢幕可不可以混搭？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
42,1,user,包裝內有附哪些工具和零件？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
43,1,user,外箱撞到、零件少了怎麼辦？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
44,1,user,下單後想改地址可以嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
45,1,user,可以取消訂單嗎？,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
46,1,user,預購會分批出貨嗎？,"現貨商品於 1–2 個工作天出貨；預購商品依頁面標示為準。標準運送滿 NT$1,500 免運；離島或外島運費另計。
🔗 詳情參考: https://example.com/jtcg/policies/shipping",3,
47,1,user,保固需要另外登錄嗎？可以轉移嗎？,"臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。
🔗 詳情參考: https://example.com/jtcg/policies/warranty",3,
48,1,user,臂架有異音怎麼處理？,"輕微金屬摩擦聲屬正常磨合；若異音明顯，建議檢查螺絲鎖付與走線是否干涉，必要時於關節轉點施以少量潤滑（請勿沾染面板）。
🔗 詳情參考: https://example.com/jtcg/guides/maintenance",3,
49,1,user,螺絲、轉接板這些備品能單買嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
50,1,user,如果剛買就降價，會補差嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
51,1,user,你們會怎麼使用我的 Email？,"您提供的 Email 僅用於本次服務聯繫與訂單通知，不做行銷用途。更多細節請參考隱私權政策。
🔗 詳情參考: https://example.com/jtcg/policies/privacy",3,
52,1,user,我想查訂單狀態,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
53,1,user,幫我查一下配送進度,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
54,1,user,查訂單 JTCG-202508-10001 的明細,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
55,1,user,我的 user_id 是 u_123456，想看歷史訂單,"為您找到以下訂單：
- 訂單號: JTCG-202508-10001 | 狀態: in_transit | 品項: ",2,
56,1,user,user_id u_999999，查最近那筆訂單,"為您找到以下訂單：
- 訂單號: JTCG-202508-11021 | 狀態: processing | 品項: ",2,
57,1,user,我要看訂單列表,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
58,1,user,請轉真人，我很急,好的，請提供您的 Email 以便為您轉接真人客服。,1,
59,1,user,在線客服在嗎？,好的，請提供您的 Email 以便為您轉接真人客服。,1,
60,1,user,service hours 客服什麼時段有？,好的，請提供您的 Email 以便為您轉接真人客服。,1,
61,1,user,請推薦一款 32 吋可用的單臂,"為您推薦：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
規格：螢幕支援: 32.0 吋 | 承重: 2-9kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32",4,
62,1,user,雙螢幕 + 筆電托盤要怎麼搭配？,"可混搭，但建議兩側重量相近以利平衡。使用雙臂時，請分別調整各臂張力，使兩台螢幕都能穩定停駐。
🔗 詳情參考: https://example.com/jtcg/guides/dual-setup",3,
63,1,user,VESA 200x100 能用哪款？,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
64,1,user,我的桌子是玻璃的，怎麼裝比較安全？,"夾具建議加裝保護墊片，避免桌面刮傷。請避免孩童攀爬或懸掛螢幕臂，並定期檢查螺絲鎖固狀況。
🔗 詳情參考: https://example.com/jtcg/guides/safety",3,
65,1,user,大概多少時間可以安裝完成？,"特定地區提供到府安裝（由合作廠商執行），費用依地區與安裝難度另計。下單前可先與客服確認是否支援。
🔗 詳情參考: https://example.com/jtcg/services/installation",3,
66,1,user,付款失敗怎麼辦？,"JTCG Shop 支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay、LINE Pay。部分銀行提供 3/6/12 期分期，實際手續費與門檻以結帳頁提示為準。
🔗 詳情參考: https://example.com/jtcg/policies/payment",3,
67,1,user,可以改成面交嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
68,1,user,我想知道活動優惠的使用規則,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
69,1,user,我需要發票抬頭變更,"本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。
🔗 詳情參考: https://example.com/jtcg/policies/invoice",3,
70,1,user,客服信箱是多少？,好的，請提供您的 Email 以便為您轉接真人客服。,1,
71,1,user,退款多久會到帳？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
72,1,user,How to track my order?,"Hello! I'm the JTCG Assistant. I can help with order tracking, FAQs, or product specs. How can I help today?",5,
73,1,user,Do you ship internationally?,"Hello! I'm the JTCG Assistant. I can help with order tracking, FAQs, or product specs. How can I help today?",5,
74,1,user,Need invoice reissue,"Hello! I'm the JTCG Assistant. I can help with order tracking, FAQs, or product specs. How can I help today?",5,
75,1,user,請問台北有安裝服務嗎？,"特定地區提供到府安裝（由合作廠商執行），費用依地區與安裝難度另計。下單前可先與客服確認是否支援。
🔗 詳情參考: https://example.com/jtcg/services/installation",3,
76,1,user,JTCG-ARM-DUAL-PRO-32 有現貨嗎？,"為您推薦：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
規格：螢幕支援: 32.0 吋 | 承重: 2-9kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32",4,
77,1,user,JTCG-ARM-ULTRAWIDE-49 支援 49 吋曲面嗎？,"為您推薦：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
規格：螢幕支援: 32.0 吋 | 承重: 2-9kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32",4,
78,1,user,JTCG-WALL-ARM-34 是否含膨脹螺絲？,"為您推薦：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
規格：螢幕支援: 32.0 吋 | 承重: 2-9kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32",4,
79,1,user,JTCG-LAPTOP-VESA-KIT 能裝 16 吋筆電嗎？,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
80,1,user,JTCG-CABLE-MGMT-KIT 裡面有哪些配件？,"可於配件館選購常用耗材與備品（螺絲組、轉接板、走線配件等）。如找不到對應零件，請提供 SKU 與需求給客服協助。
🔗 詳情參考: https://example.com/jtcg/accessories",3,
81,1,user,我桌板 20mm，夾具夠嗎？,"夾具建議安裝於 10–85mm 厚之桌板；如為玻璃或軟木材質，建議使用墊片或改用穿孔固定方式。
🔗 詳情參考: https://example.com/jtcg/guides/desk-compat",3,
82,1,user,請問保固範圍包含人為損壞嗎？,"臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。
🔗 詳情參考: https://example.com/jtcg/policies/warranty",3,
83,1,user,有企業合作方案嗎？學校採購也適用？,"可提供專案報價、到府安裝與教育/企業折扣評估。請提供需求數量、安裝地點與時程以利評估。
🔗 詳情參考: https://example.com/jtcg/b2b/quote",3,
84,1,user,發票什麼時候寄？可在哪裡下載？,"本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。
🔗 詳情參考: https://example.com/jtcg/policies/invoice",3,
85,1,user,我不確定要買哪款，你可以問我幾個問題幫我選嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
86,1,user,請問可否貨到付款？,"JTCG Shop 支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay、LINE Pay。部分銀行提供 3/6/12 期分期，實際手續費與門檻以結帳頁提示為準。
🔗 詳情參考: https://example.com/jtcg/policies/payment",3,
87,1,user,LINE Pay 有回饋嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
88,1,user,海外退貨流程怎麼辦？,"目前主要配送台灣本島；離島/外島運費與時程將於結帳頁顯示。海外配送可先透過客服評估可行方案與預估費用。
🔗 詳情參考: https://example.com/jtcg/policies/international",3,
89,1,user,我想看雙螢幕支架的比較,"可混搭，但建議兩側重量相近以利平衡。使用雙臂時，請分別調整各臂張力，使兩台螢幕都能穩定停駐。
🔗 詳情參考: https://example.com/jtcg/guides/dual-setup",3,
90,1,user,請幫我把客服轉真人（human agent）,好的，請提供您的 Email 以便為您轉接真人客服。,1,
91,1,user,这款支架支持75×75吗？（简体）,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
92,1,user,退货政策是什么？（简体）,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
93,1,user,发票怎么开？（简体）,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
94,1,user,有没有49寸显示器支架？（简体）,"為您推薦：JTCG 超寬螢幕重載臂（至 49 吋）
規格：螢幕支援: 49.0 吋 | 承重: 5-18kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49",4,
95,1,user,我要查询订单（简体）,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
96,1,user,請問你們的客服時間？,好的，請提供您的 Email 以便為您轉接真人客服。,1,
97,1,user,運費怎麼計算？離島另外加價嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
98,1,user,如果螢幕 8 公斤，哪個型號比較適合？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
99,1,user,我有兩台 27 吋要左右擺，推薦？,"為您推薦：JTCG 單臂支架 Lite（至 27 吋）
規格：螢幕支援: 27.0 吋 | 承重: 1-6kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27",4,
100,1,user,請幫我連接人工客服，我的問題很複雜,好的，請提供您的 Email 以便為您轉接真人客服。,1,
101,1,user,我想退貨流程怎麼走？順便推薦一支 27 吋單臂,"線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。
🔗 詳情參考: https://example.com/jtcg/policies/return-flow",3,
102,1,user,請問保固多久，另外 32 吋有沒有現貨？,"臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。
🔗 詳情參考: https://example.com/jtcg/policies/warranty",3,
103,1,user,我要查訂單配送進度，也想問免運門檻,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
104,1,user,可以轉真人嗎？同時幫我看一下 JTCG-ARM-DUAL-PRO-32 的相容性,好的，請提供您的 Email 以便為您轉接真人客服。,1,
105,1,user,我想知道客服時間，還有壁掛臂哪款最穩,好的，請提供您的 Email 以便為您轉接真人客服。,1,
106,1,user,查訂單 JTCG-202508-10001 的狀態，另外這款有配件嗎？,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
107,1,user,退貨政策與是否支援 Apple Pay 一起告訴我,"線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。
🔗 詳情參考: https://example.com/jtcg/policies/return-flow",3,
108,1,user,海外寄送可以嗎？同時推薦重載臂,"目前主要配送台灣本島；離島/外島運費與時程將於結帳頁顯示。海外配送可先透過客服評估可行方案與預估費用。
🔗 詳情參考: https://example.com/jtcg/policies/international",3,
109,1,user,想比較雙臂 vs 壁掛，順便看我的歷史訂單,"夾具安裝免鑽孔、便利度高；穿孔固定穩定性更佳、適合厚桌板或特殊材質。若為玻璃/軟木桌板，建議使用墊片或改穿孔。
🔗 詳情參考: https://example.com/jtcg/guides/clamp-vs-grommet",3,
110,1,user,請直接找真人，還要查 order_id 清單,好的，請提供您的 Email 以便為您轉接真人客服。,1,
111,1,user,"My order status please, and recommend a 49"" mount.","為您推薦：JTCG 超寬螢幕重載臂（至 49 吋）
規格：螢幕支援: 49.0 吋 | 承重: 5-18kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49",4,
112,1,user,Do you ship internationally and what's your return policy?,"Hello! I'm the JTCG Assistant. I can help with order tracking, FAQs, or product specs. How can I help today?",5,
113,1,user,我要發票三聯，另外幫我挑一款支架,"本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。
🔗 詳情參考: https://example.com/jtcg/policies/invoice",3,
114,1,user,客服表單在哪？也想設定到貨通知,好的，請提供您的 Email 以便為您轉接真人客服。,1,
115,1,user,能不能取消訂單，同時問問保固可轉移嗎？,"臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。
🔗 詳情參考: https://example.com/jtcg/policies/warranty",3,
116,1,user,我有 user_id u_123456，想看訂單並問 VESA 200x100 可以用哪款,"為您找到以下訂單：
- 訂單號: JTCG-202508-10001 | 狀態: in_transit | 品項: ",2,
117,1,user,付款方式有哪些？另外幫我查一下最近一筆訂單,"JTCG Shop 支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay、LINE Pay。部分銀行提供 3/6/12 期分期，實際手續費與門檻以結帳頁提示為準。
🔗 詳情參考: https://example.com/jtcg/policies/payment",3,
118,1,user,桌板 15mm 能夾嗎？還有物流多久到,"夾具建議安裝於 10–85mm 厚之桌板；如為玻璃或軟木材質，建議使用墊片或改用穿孔固定方式。
🔗 詳情參考: https://example.com/jtcg/guides/desk-compat",3,
119,1,user,我想要真人客服，也幫我估算運費,好的，請提供您的 Email 以便為您轉接真人客服。,1,
120,1,user,想了解促銷規則，另外 27 吋雙螢幕建議,"可混搭，但建議兩側重量相近以利平衡。使用雙臂時，請分別調整各臂張力，使兩台螢幕都能穩定停駐。
🔗 詳情參考: https://example.com/jtcg/guides/dual-setup",3,
121,1,user,查詢 u_999999 的訂單，同時詢問保固申請流程,"為您找到以下訂單：
- 訂單號: JTCG-202508-11021 | 狀態: processing | 品項: ",2,
122,1,user,退貨退款多久？同時看一下壁掛伸縮距離,"建議安裝於磚牆或實心牆面；若為石膏板/輕隔間需使用對應膨脹螺絲或請專業安裝。請先評估牆面承重。
🔗 詳情參考: https://example.com/jtcg/guides/wall-mount",3,
123,1,user,我想預購，還想知道客服有沒有週末,好的，請提供您的 Email 以便為您轉接真人客服。,1,
124,1,user,这款支架支持75×75吗？另外能查订单吗？（简体）,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
125,1,user,我要查询订单并了解退货规则（简体）,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
126,1,user,請問可以分期嗎？另外跟我說 RMA 怎麼申請,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
127,1,user,我需要到府安裝資訊，也想問是否支援 34 吋曲面,"特定地區提供到府安裝（由合作廠商執行），費用依地區與安裝難度另計。下單前可先與客服確認是否支援。
🔗 詳情參考: https://example.com/jtcg/services/installation",3,
128,1,user,想要看 accessories 清單，順便查配送,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
129,1,user,tracking 沒更新，轉真人並推薦穩定款,好的，請提供您的 Email 以便為您轉接真人客服。,1,
130,1,user,會員點數怎麼用？同時幫我找 JTCG-LAPTOP-VESA-KIT,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
131,1,user,請問客服電話？另外 32 吋 100x100 有沒有推薦,好的，請提供您的 Email 以便為您轉接真人客服。,1,
132,1,user,我想更改地址，同時問走線組合內容,"建議沿臂架後側與走線槽固定，預留轉動餘量避免拉扯。轉接器與變壓器避免懸空以降低接口受力。
🔗 詳情參考: https://example.com/jtcg/guides/cable-management",3,
133,1,user,能否面交？另外把我訂單列表列出來,"未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。
🔗 詳情參考: https://example.com/jtcg/policies/order-change",3,
134,1,user,海外退貨流程？也順便轉真人,好的，請提供您的 Email 以便為您轉接真人客服。,1,
135,1,user,我想要到貨通知，同時比較兩款雙臂,"請立即拍攝外箱與內容物狀況，連同訂單編號於 7 日內回報客服。我們會協助更換缺件或安排售後處理。
🔗 詳情參考: https://example.com/jtcg/support/arrival-issue",3,
136,1,user,保固一年嗎？另外 u_222222 的訂單 ETA？,"為您找到以下訂單：
- 訂單號: JTCG-202508-12005 | 狀態: shipped | 品項: ",2,
137,1,user,請問免運，還有推薦一款壁掛,"建議安裝於磚牆或實心牆面；若為石膏板/輕隔間需使用對應膨脹螺絲或請專業安裝。請先評估牆面承重。
🔗 詳情參考: https://example.com/jtcg/guides/wall-mount",3,
138,1,user,invoice 可以重發嗎？另外幫我看有沒有 200x100 支援的臂,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
139,1,user,"human agent please, also what’s your shipping fee?",Please provide your Email to transfer to a human agent.,1,
140,1,user,connect to agent and list my recent orders.,Please provide your Email to transfer to a human agent.,1,
