id,title,content,urls/0/label,urls/0/href,images/0,tags/0,tags/1,tags/2
FAQ-TRK-023,物流追蹤方式,出貨後可於「我的訂單」頁點擊追蹤碼查看最新配送狀態。若長時間無更新，請聯繫客服協助查詢。,我的訂單,https://example.com/jtcg/account/orders,https://example.com/jtcg/img/faq_tracking.png,物流,追蹤,配送
FAQ-MEM-024,會員點數與使用期限,會員點數可於結帳抵用，不得折換現金。有效期限與可用規則以會員中心公告為準。,會員制度,https://example.com/jtcg/account/rewards,https://example.com/jtcg/img/faq_rewards.png,會員,點數,折抵
FAQ-CAR-025,臂架保養與清潔建議,建議以微濕布擦拭，避免使用含溶劑之清潔劑。定期檢查關節與螺絲是否鬆動並適度調整。,保養指南,https://example.com/jtcg/guides/care,https://example.com/jtcg/img/guide_care.png,保養,清潔,維護
FAQ-SPACE-026,桌深與牆距建議,臂展會影響可調整範圍；一般建議桌深至少 60cm，桌面後方保留 10–15cm 以利走線與臂架活動。,桌面規劃,https://example.com/jtcg/guides/desk-space,https://example.com/jtcg/img/guide_space.png,桌深,臂展,空間
FAQ-CBL-027,走線管理與配線建議,建議沿臂架後側與走線槽固定，預留轉動餘量避免拉扯。轉接器與變壓器避免懸空以降低接口受力。,走線指南,https://example.com/jtcg/guides/cable-management,https://example.com/jtcg/img/guide_cable.png,走線,配線,收納
FAQ-GFT-028,贈品與遺漏補寄,贈品以活動頁標示為準；若到貨未含贈品，請於 7 日內附上開箱照片與訂單資訊，客服將協助補寄。,贈品規則,https://example.com/jtcg/promotions/gifts,https://example.com/jtcg/img/faq_gift.png,贈品,補寄,活動
FAQ-VSC-029,VESA 螺絲規格與長度,多數螢幕背板為 M4 螺牙（常見長度 10–14mm）；部分大型或電競機型可能為 M6/M8。實際規格以螢幕原廠手冊為準，安裝時避免螺絲過長頂壓機板。,VESA 螺絲指引,https://example.com/jtcg/guides/vesa-screws,https://example.com/jtcg/img/guide_screws.png,VESA,螺絲,規格
FAQ-SIT-030,是否可與電動升降桌搭配,可搭配，但請留意臂展與走線鬆弛度，避免升降時拉扯線材。建議預留 10–15cm 線材餘量，電源變壓器避免懸空。,升降桌搭配建議,https://example.com/jtcg/guides/sit-stand,https://example.com/jtcg/img/guide_sitstand.png,升降桌,走線,相容性
FAQ-EDGE-031,桌後擋板/外翻邊緣能否夾具安裝,若桌面後緣有擋板或外翻邊，請確認夾具可用夾持深度與高度。若干涉建議改用穿孔固定或加裝延伸固定片。,夾具相容檢查,https://example.com/jtcg/guides/edge-compat,https://example.com/jtcg/img/guide_edge.png,夾具,桌板,相容性
FAQ-MIX-032,多螢幕不同尺寸是否可混搭,可混搭，但建議兩側重量相近以利平衡。使用雙臂時，請分別調整各臂張力，使兩台螢幕都能穩定停駐。,雙螢幕配置建議,https://example.com/jtcg/guides/dual-setup,https://example.com/jtcg/img/guide_dual.png,雙螢幕,張力,平衡
FAQ-KIT-033,包裝內容物與安裝所需工具,標配包含臂架本體、夾具/穿孔配件、六角扳手、VESA 螺絲組（型號依商品而異）。穿孔安裝可能需要電鑽與量尺（自備）。,開箱與安裝準備,https://example.com/jtcg/guides/unbox-setup,https://example.com/jtcg/img/guide_unbox.png,內容物,工具,安裝
FAQ-DOA-034,到貨外箱受損或零件缺失怎麼辦,請立即拍攝外箱與內容物狀況，連同訂單編號於 7 日內回報客服。我們會協助更換缺件或安排售後處理。,到貨異常申請,https://example.com/jtcg/support/arrival-issue,https://example.com/jtcg/img/support_doa.png,到貨,缺件,售後
FAQ-CHG-035,下單後是否可修改地址或變更品項,未出貨前可由客服協助修改。若已進入出貨流程，可能需取消訂單重新下單，實際以系統狀態為準。,訂單變更流程,https://example.com/jtcg/policies/order-change,https://example.com/jtcg/img/faq_order_change.png,訂單,修改,地址
FAQ-CAN-036,取消訂單與退款,未出貨可申請取消；已出貨需走退貨流程。退款作業約 7–14 個工作天，依支付方式與銀行作業為準。,取消與退款,https://example.com/jtcg/policies/cancel-refund,https://example.com/jtcg/img/faq_cancel.png,取消,退款,申請
FAQ-PRE-037,預購商品與分批出貨,預購品將依頁面標示時程到貨；若同單含現貨與預購，可能採分批出貨。運費計算與是否合併以結帳頁為準。,預購與出貨,https://example.com/jtcg/policies/preorder-shipping,https://example.com/jtcg/img/faq_preorder.png,預購,分批出貨,運費
FAQ-REG-038,保固登錄與是否可轉移,部分商品提供線上保固登錄；保固通常限原始購買者，不隨轉售轉移。實際以商品頁或憑證說明為準。,保固登錄,https://example.com/jtcg/support/warranty-register,https://example.com/jtcg/img/faq_register.png,保固,登錄,轉移
FAQ-NSE-039,臂架異音與保養,輕微金屬摩擦聲屬正常磨合；若異音明顯，建議檢查螺絲鎖付與走線是否干涉，必要時於關節轉點施以少量潤滑（請勿沾染面板）。,保養建議,https://example.com/jtcg/guides/maintenance,https://example.com/jtcg/img/guide_noise.png,異音,保養,潤滑
FAQ-PAR-040,配件與備用零件是否可單獨購買,可於配件館選購常用耗材與備品（螺絲組、轉接板、走線配件等）。如找不到對應零件，請提供 SKU 與需求給客服協助。,配件館,https://example.com/jtcg/accessories,https://example.com/jtcg/img/faq_parts.png,配件,備品,螺絲
FAQ-PRC-041,價格保護與調降補差,若商品於短期內調降價格，是否提供補差以活動頁公告為準；不同活動檔期可能不適用價格保護。,價格政策,https://example.com/jtcg/policies/price-protect,https://example.com/jtcg/img/faq_price.png,價格保護,補差,活動
FAQ-PRV-042,個資與 Email 使用說明,您提供的 Email 僅用於本次服務聯繫與訂單通知，不做行銷用途。更多細節請參考隱私權政策。,隱私權政策,https://example.com/jtcg/policies/privacy,https://example.com/jtcg/img/faq_privacy.png,隱私,Email,資料使用
